	Comments	Date	Likes	Number	Text	Time
28	-	30 August	-	#108.5	Manu sir, i saw ur cmnt that you're single. Sir can we meet today at 12.30 in the night in Vindhya pls? UG1-F	11:00
29	-	30 August	-	#108	Continuation to confo #85Jayadev Sir, I will stand by my word. As you have haha reacted to my  confo I would like to meet you at JC on thursday night 12:00 . Looking forward for a great night. P.S: Please come in your shorts. You look awesome when you wear shorts	10:59
30	-	30 August	-	#107	 This is an honest confession  I really like omkar sir from ug2 . First I saw him at vindhya canteen during the class hours . He is really cutie but he always roam around with a tall guy who walks like a drunk and  looks so dumb that I want to slap him .. I want to meet u once in personal  If u are interested u can like this post then I will personally message u😍😍UG1-F	10:58
31	-	30 August	-	#106	I avoided going to Yuktahar due to its bad taste food but since it was my default mess I had to go. But now I go Yuktahar almost daily....Any guesses why??? Bcoz I get a chance to have a glance of you Vedansh sir❤️...I like your way of walking and your passionate talking style has made me fallen for u...This is real not fake... Are you… More single??? I was in your house (akash) and have already interacted with you...if you agree we can proceed this relationship further...Someone tag him please...	10:56
32	-	30 August	-	#105	Hi, I saw a UG2 guy in North mess few days back along with some seniors (who I think are from J&K). But he is from Madhya Pradesh. I know him as I was in his school and have a crush on him since. Can someone help me in meeting him. I won't tell his name but can give you all a hint. Hint: (He is lean and clean-shaved) If he replies to this post, I'll assume he is interested and would like to take it forward. UG1-F#105 Hi, I saw a UG2 guy in North mess few days back along with some seniors (who I think are from J&K). But he is from Madhya Pradesh. I know him as I was in his school and have a crush on him since. Can someone help me in meeting him. I won't tell his name but can give you all a hint. Hint: (He is lean and clean-shaved) If he replies to this post, I'll assume he is interested and would like to take it forward. UG1-F	10:53
33	-	30 August	-	#104	I want to confess that i have a huge crush on a  ug2 guy who is from chennai. I don't know his name , i think its somewhat vis.. I want to know why are you so shy?. I will be looking for you at bbc at 10pm today. In green tshirt you look really hot!!!UG1-F :( sry for the delay i've got some plans	10:51
34	-	30 August	-	#103	I was just wondering why there are no confessions yet on Lade sir (UG3)If I am the first one to post, what else can bring a huge smile on my face.  😄😄😄. Ur #swag made me to stalk you , follow you, what nottttt!!!!! And ur looks , just fell in love with it .   Wanna meet u as fast as possible	10:49
35	-	30 August	-	#102	There's this person from ug3 , name starting with A******(ECD)Waah,  what a smile . I just fell in love with this guy . Whenever I get a chance to see his smile, I just feel like the most luckiest girl ever 😘😘.	10:48
36	-	30 August	-	#101	[Honest Confession] There is one maam whose name starts with 'S' and ends with 'athya'. I have been crushing on her since talent hunt. Her swag is lit 💥 Maam can we please hang out and please don't fall for H*****. Admin,please post this coz she makes my life go wooooo.UG1-M mmmmm :v	10:46
37	-	30 August	-	#100.5	Guys can we all take a minute and thank UG2? It's because of us they had to stayback in bakul and yet they don't hate on our batch. So far I think they've helped us a lot in settling in the college. Thank you seniors!UG1 😁😁😁😁 thanks :)	10:46
38	-	30 August	-	#100	Vidit sir I am in love with you and the way you say 'fuckin hell'. I don't know why everyone calls you 'bro', for me you are the most dashing senior. I will be waiting for you in the amphi tomorrow 2AM please show up so that we can Netflix and chill ;-)UG2-F :v this looks fake and real at the same time :p	10:45
39	-	30 August	-	#99	Popliiii!! You are cute af ❤️❤️❤️ It's been a while I am crushing on you 😍 Love.....UG3-F 🤔🤔😁😁	10:43
40	-	29 August	-	#98.5	"What does ""identity disclosed"" mean in all your posts ?both year and gender options are ""prefer not to say"""	13:48
41	-	29 August	-	#98	Meghana (UG2) , I secretly loved you till now , if you are not paired up , would you like to spend time with me... And can we start talking ❤️UG2-M	13:46
42	-	29 August	-	#97	ujwal sir i saw you during the quiz club meet. i like your messy hair and everything about you is so cute. would you allow me to put your life in order. if you reciprocate this feeling, can we meet @ jc today at 12. i will wait in red top and black jeansUG1-F ooooo cooool	13:45
43	-	29 August	-	#96	Whats with the parliament guy why so smoking hot dude? From the look of your face it doesnt look like you are in for long term relationships. Or do you? Wouldnt mind anything else too ;) xxUG1-F	13:44
44	-	29 August	-	#95	Aww P*at*us Sir, you are sooo cute. I saw you the first time when you were entering H105. I saw you multiple times after that. I wait near VC before every class of yours to see you. I get angry when others abuse you. I can teach you to reply back. Please accept my friend request, I promise to text you on messenger! UG1 girls#95 Aww P*at*us Sir, you are sooo cute. I saw you the first time when you were entering H105. I saw you multiple times after that. I wait near VC before every class of yours to see you. I get angry when others abuse you. I can teach you to reply back. Please accept my friend request, I promise to text you on messenger! UG1 girls	13:43
45	-	29 August	-	#94	I don't understand why no one mentions Sawar Sir. He is the most good-looking person in UG2. I found him very attractive the day I saw him in Vindhya canteen. Please if someone can help me in getting to know him. UG1 F#94 I don't understand why no one mentions Sawar Sir. He is the most good-looking person in UG2. I found him very attractive the day I saw him in Vindhya canteen. Please if someone can help me in getting to know him. UG1 F	13:43
46	-	29 August	-	#93	This is an honest confession.  There is this guy who plays awesome guitar. He even played in the Freshers for the Agni House. I think that Agni came second just because of him. I see him around often in Vindhya canteen but I don't know his name. I would really like to know him more and become friends. I bet everyone is fan of his electric guitar. Please comment his name.UG1-F	13:42
47	-	29 August	-	#92	[PLEASE READ THIS]I thought college meant no more JEE shit and ton load of expectations or shit from people. I was really looking forward for change but fuck this, I don't like how the college has changed me.  Can anyone actually be in a relationship with someone outside the campus and not a fellow student not have problems due to their study… More life and extra activities of the college??? I really miss her now, especially because my career choice is affecting my relationship with someone (she thinks I avoid her now) Thanks IIIT, I have been successfully branded as a nerd with lack of emotions for people.	13:41
48	-	29 August	-	#91	im in love with a ECD girl i hangout with everytime but am afraid to tell her	13:39
49	-	29 August	-	#90	Hi , I am Batra but not Gaurav and have a huge crush on ***** I have been trying to talk to you but you never gave me a slightest shit.- One sided lover , UG2	13:37
50	-	29 August	-	#89	There's this guy from ug-1 I think hes in the e-vell.Loay something,I've got a huge crush on him,just the way he looks is so cuuuutteeeee.Loay pls reply back to this post and agree to meet me for jc,my treat <3. ug-2 Fgood luck ma'am :) 😁	13:36
51	-	29 August	-	#88	Can someone tell me the name of that UG-4 boy who gives answer in every IRE class. He looks damn cute !! Infact I listen to him instead paying attention to the class <3 <3 <3 PG-2 girl#88 Can someone tell me the name of that UG-4 boy who gives answer in every IRE class. He looks damn cute !! Infact I listen to him instead paying attention to the class <3 <3 <3 PG-2 girl	13:35
52	-	29 August	-	#87	I have a crush on utkarsh (ug1). The first time I saw him in prithvi dance ,I started having butterflies in my stomach. 😍 We had some eye contact at Golkonda fort. I hope to meet you and please ping me if you're single.UG1-F remember the girl with whom u had eye contact? 🤔😂	13:34
53	-	29 August	-	#86	Chandani Sir <3 Pyar ho gaya aapse pehle din hi.....UG1-F :p sir is next to suryansh sir :p	13:33
54	-	29 August	-	#85.5	Why are there no questions??UG1-M never knew that a confession was a question 🤔🤔🤔	13:31
55	-	29 August	-	#85	Jayadev sir(astronomy group admin)  I have recently stalked you on FB and i found all the stuff related to only one thing,ASTRONOMY. Don't you like anything other than this?? Seriously you need to get a life sir,  Make a HAHA react to this and I will ping you . UG 1 F...#85 Jayadev sir(astronomy group admin)  I have recently stalked you on FB and i found all the stuff related to only one thing,ASTRONOMY. Don't you like anything other than this?? Seriously you need to get a life sir,  Make a HAHA react to this and I will ping you . UG 1 F...	13:30
56	-	29 August	-	#84	Anudeep Sir(UG2), I am amazed at the number of confessions on you.I d onot know how many of them are true. But this is  a true confession from your admirer.. I have seen you for the first time during house practice.My heart skipped a beat at the sight of you.I was literally in love with your chubby cheeks and what not.. Since then I have been… More observing you and I have noticed that you go to Gym at 6:15 Pm .Sir, I do not know the motive of you going to gym but I really like you in your present form. You are sooo like a Pandaaa. If you are interested please make a love react for this post.  P.S: You look really amazing when you smile UG1 F	13:28
57	-	29 August	-	#83	"To Lakshmee Sravya maam UG3 , If you're not committed to anyone, Can I be the ""lucky"" person ? 😍❤  From your secret admirer ,cutest fresher UG1-M *-* i'll find the cutest fresher myself :v :v"	13:27
58	-	29 August	-	#82	Why are so greedy Macharla Srivastava , you are one of the few persons I hate the most. It's not just about studies , there's lots more .Identity disclosed. yey now this is new :)	13:25
59	-	29 August	-	#81	Why is Dhiraj Vasant J so dumb? Does he not understand that my frnd loves him? When ever she calls him to meet in canteen he just drinks tea , eat samosa and go away . This time when you meet apart from eating and drinking , accept her request dumbie....identity disclosed	13:24
60	-	29 August	-	#80	im crushing super hard on a Ug1 Agni girl who dances really well (her name ends with a shka) . i love your attitude and and your personality. we dont spend too much time together but i would love  it if we hung oit more and got to know each other betterUG1-M cuuuul :v	13:23
61	-	29 August	-	#79	There's this guy whose name starts with A and ends with shwin. He was really good in fresher's and I find him really cute and wanna go on a date with him and ffs don't sis zone meUG2-F UG2-F UG2-F UG2-F UG2-F UG2-F  finally a boy frm UG1 😁😁	13:18
62	-	-	-	-	-	13:18
63	-	28 August	-	#78	I'm from Aakash house and I really like soorya sir from ug2. Can someone please tag him?UG1-F new addition :p	11:34
64	-	28 August	-	#77	I really like a girl from prithvi house and she dances so well. Please tell me her name.UG1-M Sarthak sir we need help :v	11:33
65	-	28 August	-	#76	I met a ug1 girl from Mumbai, she's too cute but I didn't got any chance to ask the name 😅UG2-M 🤔🤔🤔🤔 plis tag her :v	11:32
66	-	28 August	-	#75	Yaswanth naidu 😍😘dying to talk with u.  Please accept my friend request UG2-F not gonna happen 😂😂😂 i guess sir is famous for not accepting requests 😂😂	11:29
67	-	28 August	-	#74	There is this guy from Dubai , always wearing that blue camouflage hoodie from UG2 . Recently he clean shaved and looks cute af. Guys please help me get him 😘😍 UG1-FThats what im talkin abt  😎	11:27
68	-	28 August	-	#73	Shreyas sir from Ug 2 is soooo cutiee.. I like his beard. can u plis tell him to come out of his room more and talk to us UG1 girlsUG1-F how do cute and beard go hand in hand??? 😂😂😂	11:25
69	-	28 August	-	#72	Shreya terupally mam from ug2 , Are u in a relationship ? , Bcoz I always find u chatting with someone ......😑😑If not can u plzz spare sometime with me @JC 12pm 😍	11:24
70	-	28 August	-	#71	I met a guy, better to say, I saw a guy, I think he is from UG2, he is tall, handsome and plays cricket. I don't know why but his friends call him Rajkumar. I want him badly, can anyone please tag him?  P.S. He is a Jain, but not Paryul (bcz every PG2 girl knows Paryul, IYKWIM 😉)PG2-F 😂 this looooks interesting :v	11:22
71	-	28 August	-	#70	Does anyone know this girl from msit I guess, cute hai aur friendly bhi, couldn't see her this sem, did she graduate?🙄 Bc kabhi baat karne ka mauka nai milaUG5 😮😮 i get ur pain sir 🙄	11:20
72	-	28 August	-	#69	Tanmay Parham is soooo dashing. I want to know the name of the gul he like..... plzzUG1-F yo tag the guy :v	11:18
73	-	28 August	-	#68	This is for the Topper of UG2 both in marks and height. i really like you but earlier you were with a bombay guy which made me too jealous. Seeing you with him was the most torrid thing. Now as you single again can there be something between us. A UG2 guy, people also call me MP and i am also dealing with batch hoodies , so if you have some suggestions about it please tell as i guess you must have recognized me till now as you are too smart.smartie smart 😏😏😂	11:17
74	-	28 August	-	#67	This confession is for Vivek Nannaka sir Of UG2. It was in the mess , I saw him for the first time. The way he used to smile, the way he used to interact with everyone attracted me a lot. But he is very shy in front of me. Whenever I came across him, he used to hide his face and walk away. I just want to know about him and want to spend some time with him. I request my ug-2 bhaiyyas to make somethings work out between us. UG-1 -F <3#67 This confession is for Vivek Nannaka sir Of UG2. It was in the mess , I saw him for the first time. The way he used to smile, the way he used to interact with everyone attracted me a lot. But he is very shy in front of me. Whenever I came across him, he used to hide his face and walk away. I just want to know about him and want to spend some time with him. I request my ug-2 bhaiyyas to make somethings work out between us. UG-1 -F <3	11:15
75	-	28 August	-	#66	Anudeep sir, you are really Handsome. If you are still single can you come to JC tommorrow ate 2:00 AM. Please sir I love youTru ya fake? F is only mentioned :v :v	11:14
76	-	28 August	-	#65	 Anudeep sir ug2.. goddd!! he is soo rounddd.Seriously looking forward to meet him.Sir plsss love react to this Ug1 gaal obvi...what else to say 😏😏	11:13
77	-	28 August	-	#64	With reference to the ug1 mumbai girl post (initials RR) I am in the same house(vayu),same cluster, same group for activities,workshops and had the same default mess as yours. Now we have different groups for classes thanks to the evil app€€ji but we do meet on Saturdays!!!!##This was just to clear the air!!!  Admin please do post my life depends on u	11:11
78	-	28 August	-	#63	To Chandu sir from UG3 , why do you have such a great fan following?  Almost every girl in our batch has a shy crush on you. I don't know why? :|  Could some one please tag that chandu and tell me the reason why!UG1-F who's chandu sir? is it chandani* sir?	11:10
79	-	28 August	-	#62	Devansh Manu sirrr!!! ❤️Are u single??? *_* I'm sure alot of girls frm my batch (UG1) are gaga fr u 🎈. U hve such a charming personality ❤️❤️ I'm a bigg fan of all ur Music videos! Jst hoping one day one song is fr me. I'm sure u'll recognize me, we do talk occasionally. I knw I'm ug1 and you r ug4, but kya karu ab, pyarr ho gya h apse sir. Are you taken?UG1-F :v :v she studies too much abt ppl :v :v	11:08
80	-	28 August	-	#61	There is a girl she used to come in yuktahaar mess daily around 8:30 pm. I don't know her name but she is from PG1. Can someone please tag her ?what does a UG1-M do with a PG1 :V	11:06
81	-	28 August	-	#60	confession on suryansh sir I find you very cute since day 1.. if your girlfriend doesn't mind, can you breakup w her and date me instead? I hope you're interested. UG1-F toooo many fans for suryaansh sir :p	11:05
82	-	28 August	-	#59	Arpitha from ug3  is so cute manily cheeks❤. I recently heard that she broke  up with MMBS.I wish i can try nowDisclosed :v rip inglis 😂😂😂	11:04
83	-	28 August	-	#58	I have huge crush on a telugu sir from ug3 seen dancing so very well. I dont know his name can someone tag him btw: he is not chandu admin please do post itUG1-F :v :v	11:02
84	-	28 August	-	#57	mai hu rizwaan.. pyaaar se log mujhe rizu randi ke nam se bhi jaante hai.... ye confession hai meri SSAD partner urf laal baal waali ke liye...mujhe pta hai ki tumne mujhe ssad mei F dilwaane ka theka le rakha hai kyunki tumhaari laal zulfein dekhkr mera project mei mann ni krta and tm hilti bhi bahut ho....  love you cutie...UG2-M much like a proposal than a confession 😂😂 why write twice sir? :v	11:00
85	-	28 August	-	#56	mai bs itna kehna chahta hu ki mujhe tm jabse mili ho mai bahut khush rehne laga hu....shaadi ke sapne dekhta rehta hu... bachcho ke toh naam tk sochke rakh liye hain..... bs problem ek hi hai ki tuu bengali hai and chicken khaati hai and mai jain huu... pyaaz bhi ni chhuutaUG2-M LMAAOOO 😂😂😂	10:57
86	-	28 August	-	#55	Met this third year sir at our intro to clubs. 2nd years described him as shy, elusive, but visionary. i hav fallen in complete love with him, but am not able to meet him.  Plzzz tell if u r ready to meet sir.UG1-F y no one check on UG1-B 😣😣 behalf of all guys :p	10:53
87	-	28 August	-	#54	Haneeth sir madly in love with you and your attitude.. ❤️❤️😘😘😍😍UG1-F back to back attacks :v	10:51
88	-	28 August	-	#53	Haneeth sir are u single?? I hope so.  You are so hot sir.UG1-F looks fake to meh :v :v	10:47
89	-	28 August	-	#52	This one is for the tallest and cutest girl of our batch.I have a huge crush on u since our first year but tumhara kisi k saath chal rha tha.Suna hai tum ab single ho.So can we get things started bw us? NAME-MP Hoon aur haan Rajasthan ka hoonUG-M Too many clues 😕😕😕😕	10:46
90	-	28 August	-	#51	I have huge crush on my SSAD project partner since our first day of college.I thought uska naam likhne se meri baat aage badhegi but kuch nhi ho rha hai.She is DASA and uske saamne mere playboy skills bhi kaam nhi kr rhe hai.Log mujhe gujju ke naam se bhi jaanta hai.UG2-M smeone help him :v tips :v	10:45
91	-	28 August	-	#50	Sathya you and your shirt are beauty! <3UG3-M :p	10:43
92	-	27 August	-	#49	Miss Flair and Devesh Sir kch chal raha hai kya ?? kaafi interested Devesh sir me  mera last confession post nahi hua UG1 Female--sry skipped by mistake 😕	21:12
93	-	27 August	-	#48	Sanjana, I love you and your hair <3UG3-F 🤔🤔🤔	20:59
94	-	27 August	-	#47	Abhishek Pv sir , are u single and ready to mingle?? , if yes meet me at amphi at 2:00 Am tomorrow.UG1-F I'm gonna make this a pinned post! Tag plis :v	20:58
95	-	27 August	-	#46	there is one guy from UG1 Group 2 , fair. Explains doubts very well please tag him(^_-)UG1-F any guesses guys?? 🤔😏	20:56
96	-	27 August	-	#45	ABHISHEK PV sir , if there is anyone from our collge that gives a tough competition to #MB  is #Abhi sir   <3 <3UG1-F wow 🤩 i'll check him out :v :v	20:55
97	-	27 August	-	#44	I am agrawal from UG2 , but not mayank......last time prom pe Kat gya than Mera... Is baar nhi hoga...punjabi hu...floor today ke nachungaUG2-M 😂😂😂	20:54
98	-	27 August	-	#43	This confession is from entire UG1 : Apex - You did a great job this year! 😃🤩🤩🤩🤩	20:53
99	-	27 August	-	#42	Eavanshi Ma’am: Are you single? 😍UG1-M --one of a kind 🤔	20:52
100	-	27 August	-	#41	Maitin sir why do you feel so shy while talking to us be cool as Siddharth else you are perfect .UG1-F chic mag 😏😂	20:50
101	-	27 August	-	#40	Tanuj sir is such an aloo. Cute afUG1-F 😏😏	20:49
102	-	27 August	-	#39	E-cell wale motu motu sir konse h?? Please tag him here.I found him very cuteUG2-M 😂😂😂😂 hunts starts now 😂	20:48
103	-	27 August	-	#38	Ashwin sir I find you cute. Can we please meet?Please can someone tag him	20:47
104	-	27 August	-	#37	I love a ug1 girl from mumbai oh come out of the reading room babyUG1-M (Sounds gooood 😏😏) lets hunt her down 😂	20:46
105	-	27 August	-	#36	Suryansh Sir is hotUG1-Gay (he/she didn't want to specify gender :v sry if smeone got offended)	20:44
106	-	27 August	-	#35	Is Sankarshan Damle single ?Identity disclosed 😣	20:42
107	-	27 August	-	#34	There's this Sanchit sir who plays TT. I like him a lot. But came to know that he's behind a girl from Chandigarh. I really got hurt. Sir, either choose her, or meUG1-F	20:41
108	-	27 August	-	#33	Sarthak sir nhi patungi aapse... Gender - Female,UG1There you go sir :v 😂	20:39
109	-	27 August	-	#32	i have fallen in love with you Vashist sir !!!Identity completely disclosed	20:39
110	-	27 August	-	#31	Shivam sir, since my first day in the college, I have seen you everywhere, may it be admissions, or the orientation trip. I saw you looking at me too. You might know who I am. Ping me ❤️UG1-F (Dont fall into the trap girl :v i've been there thrice 😂😂😂, anyways best of luck :v)	20:38
111	-	27 August	-	#30	"Pakhare sir: Din me kitni baar ""Pooja"" krte ho? :') UG2-F 😂😂😂"	20:36
112	-	27 August	-	#29	Sachin Chandani sir: Why are you not single? :(  Also, it's my fantasy to see you dance. Can you do that for me please? <3UG1-F (P.S go watch the flash mob frm youtube :v )	20:34
113	-	27 August	-	#28	manan sir i love you... you have the most beautiful curves in the world.UG1-F just tag asap!!😂😂😂😂😂	20:32
114	-	27 August	-	#27	chandu sir from UG3 is so cute. Are you single?  Sir, many are dying to go out with you. Please accept my Facebook request.UG3 F 😏😏😏😏 lot of balayya's and fasakks on the way 😂😂	20:31
115	-	27 August	-	#26	Geethika iz so innocent nd cute. A beautiful person inside out. Can I plzzzzzzz hav her no.UG2 and discloses his gender 😂😂	20:30
116	-	27 August	-	#25	 Fuck OBH--UG1 MLet the war begin! 😂😂	20:29
117	-	27 August	-	#24	i reeaallly find harsha cute and this isnt some prank. harsha please comment if you are up for anythingUG1 F :p	20:28
118	-	27 August	-	#23	I love Yashaswi Pathak <3 Can you please give me your contact numberUG1 😏 spam the number plis 😂	20:27
119	-	27 August	-	#22	mallika is cuteUG1 boy 😏	20:26
120	-	27 August	-	#21	Hi this is saini from ug2, not Prateek :p I have a huge crush on this girl from panchkula since our 1st year. I tried approaching her through many of her friends, but none seems to work. Can we get things started <3  plis _/\_UG2 male :v help him plis sirs :v	20:25
121	-	27 August	-	#20	Ug1 female   Why do everyone call jaswanth kumar as chintoo?? He is soo sweet. I seriously hope he has no gf. He is soo cuteee in today's ethnic wear. #sweetnessoverloaded🙄🙄🤔🤩	20:24
122	-	27 August	-	#19	Ye aayush goel sir ko sab playboy kyu kehte hai?? I think he's cute. mujhe unke sath private workspace experience lene haiUG1 female :p	20:23
123	-	-	-	-	-	20:23
124	-	27 August	-	#18	Anurag Jain sir why you always stay in your room ? I want to meet you , date you and take you to prom. And I promise Mai Aapka Nahi katungiUG1 girl :p	14:52
125	-	27 August	-	#17	vijayraj akhand chutiya haieverything is disclosed :v	14:51
126	-	27 August	-	#16	Why does Akshat Chajjer roam around girls only? We hate it you spoon..UG1 girl :p	14:50
127	-	27 August	-	#15	A man shows his true face/identity when he is covered with a mask .P.S This isn't a confession 🤔	14:49
128	-	27 August	-	#14	Do you manually copy paste the data from this Doc or automatically dump it ?Admin: How abt typing the whole thing frm the smaller window :v	14:47
129	-	27 August	-	#13	 Who is admin ?Me 😎 ask UG1 sir :v	14:46
130	-	27 August	-	#12	Can we screen Success story of Nikhil Bishnoi in Amphitheatre in front of all seniors?Getting priorities right 😎😎😂 yes we shud :v	14:31
131	-	27 August	-	#11	DASA sucks!!!I'm pseudo-offended :v	14:10
132	-	27 August	-	#10	#pulihora raja talks with only UG1 girls politely not with UG1 boysUG1, male :p	14:09
133	-	27 August	-	#9	this is gaynp 😉	14:08
134	-	27 August	-	#8	Bhai bole toh apun ko lakdi maangta h... Toh thoda sa tip-tap pass kreneka... Bole toh turranttt... yea!! now we're talkin :p	14:07
135	-	27 August	-	#7	 I'm gonna fail this semesterP.S read the page name again :v	14:05
136	-	27 August	-	#6	I hate myself (3)*These will be filtered later	14:03
137	-	27 August	-	#5	 I love bisssssssshhhhhhGender: Male	14:02
138	-	27 August	-	#4	I know a donkeyUG1 guy 🙄	14:01
139	-	27 August	-	#3	I have a crush on this guy from Vayu house, but I did not match with him. Vikranth.Tag!Tag!Tag!	13:58
140	-	27 August	-	#2	I love Yashaswi Pathak*Someone tag the senior pls :p	13:57
141	-	27 August	-	#1	Sarthak sir is a cutie :p  Admin: Things reaaaally got started 😂#1 Sarthak sir is a cutie :p  Admin: Things reaaaally got started 😂	13:55
142	-	-	-	-	-	13:55
